fon,borsa_kodu,isin_kod
AK PORTFÖY ÜÇÜNCÜ FON SEPETİ FONU,ODV,TRYAKPO00237
AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI FONU,BGP,TRYAKPO00625
AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,AJE,TRYAKPO00393
AK PORTFÖY İKINCI SERBEST (DÖVIZ) FON,AJK,TRYAKPO00385
AK PORTFÖY İKİNCİ DEĞİŞKEN FON,ALD,TRYAKBK00953
AK PORTFÖY İKİNCİ FON SEPETİ FONU,ARM,TRYAKPO00054
AKPORTFÖY %115 ANAPARA KORUMA AMAÇLI OTUZUNCU FON,PZO,TRYAKPO00567
AKTİF YATIRIM BANKASI A.Ş. 2 NOLU EMEK VARLIK FİNANSMAN FONU,AVI,TRYAKYB00038
AKTİF YATIRIM BANKASI A.Ş. 3 NO'LU TURKCELL VARLIK FİNANSMAN FONU,AJJ,TRYAKYB00129
AKTİF YATIRIM BANKASI A.Ş. 4 NOLU EMEK VARLIK FİNANSMAN FONU,AFR,TRYAKYB00061
AKTİF YATIRIM BANKASI A.Ş. 7NO'LU EMEK VARLIK FİNANSMAN FONU,AVV,TRYAKYB00103
AKTİF YATIRIM BANKASI A.Ş. 8 NO'LU EMEK VARLIK FİNANSMANI FONU,AGZ,TRYAKYB00111
AKTİF YATIRIM BANKASI A.Ş.(6) NOLU EMEK VARLIK FİNANSMAN FONU,AFG,TRYAKYB00095
AKTİF YATIRIM BANKASI A.Ş.5 NOLU EMEK VARLIK FİNANSMAN FONU,AFM,TRYAKYB00079
ALBARAKA PORTFÖY ALTIN KATILIM FONU,RBA,TRYAPYS00049
ALBARAKA PORTFÖY KATILIM FONU,RBK,TRYAPYS00031
ALBARAKA PORTFÖY KATILIM HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),RBH,TRYAPYS00023
ALBARAKA PORTFÖY KISA VADELİ KATILIM SERBEST FON,PVK,TRYAPYS00098
ALBARAKA PORTFÖY KISA VADELİ KİRA SERTİFİKALARI KATILIM FONU,RBV,TRYAPYS00064
ALBARAKA PORTFÖY KİRA SERTİFİKALARI  KATILIM FONU,RBT,TRYAPYS00056
ATA PORTFÖY ANALİZ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),TLZ,TRYATAP00054
ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,AED,TRYATAM00010
ATA PORTFÖY BİRİNCİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),AYA,TRMAATWWWWW8
